artista,genero,anio,similares,bio,listeners,playcount
Yasuaki Shimizu,jazz,2023,"Meitei, Josiah Steinbrick, Susumu Yokota","Yasuaki Shimizu (Japanese: 清水靖晃; born 9 August 1954) is a Japanese composer, saxophonist and producer. He is known for his interpretations of the music of J.S. Bach, in particular the ""Cello Suites 1-6"" re-arranged for and performed on tenor saxophone.

Since 1981 he has composed, produced or arranged for artists as diverse as jazz vocalist Helen Merrill, composer Ryuichi Sakamoto, and DJ Towa Tei. During this time he has lived in and Tokyo, London and Paris, where he was a member of Urban Sax. <a href=""https://www.last.fm/music/Yasuaki+Shimizu"">Read more on Last.fm</a>",184290,2252874
Pat Martino,jazz,2020,"Grant Green, Tal Farlow, Jim Hall","One of the most original of the jazz-based guitarists to emerge in the 1960s, Pat Martino made a remarkable comeback after brain surgery in 1980 to correct an aneurysm that caused him to lose his memory and completely forget how to play. It took years, but he regained his ability, partly by listening to his older records. Martino began playing professionally when he was 15. He worked early on with groups led by Willis Jackson, Red Holloway, and a series of organists <a href=""https://www.last.fm/music/Pat+Martino"">Read more on Last.fm</a>",171608,1295125
Beegie Adair,jazz,2021,"Jack Jezzro, Nocturnal Spirits, Massimo Faraò","Beegie Adair Bio

Once in a while a musician comes along with impeccable technique, deep understanding of the jazz repertoire, an innate tendency to swing and the rare ability to communicate the heart and soul of a tune to listeners. That musician is Beegie Adair.

About her music Adair says, “Falling in love with jazz is like falling in love with a person, except with jazz you never get over it.” About Beegie (say B-G) Adair, what do others say? <a href=""https://www.last.fm/music/Beegie+Adair"">Read more on Last.fm</a>",233999,2817040
Wayne Newton,jazz,2022,"Bobby Darin, Sammy Davis, Jr., Billy May","Carson Wayne Newton (born April 3, 1942 in Roanoke, Virginia) is an American singer and entertainer based in Las Vegas, Nevada. He performed over 40,000 concerts in Las Vegas over a period of over 50 years.  

Wayne's severe asthma forced the family to move to Phoenix, Arizona, in 1952. In the spring of 1958, toward the end of Wayne's junior year in high school, a Las Vegas booking agent saw a local TV show on which the two Newton brothers were performing and took them back with him for an audition. <a href=""https://www.last.fm/music/Wayne+Newton"">Read more on Last.fm</a>",284807,1413670
Giorgio Gaslini,jazz,2023,"Roberto Pregadio, Piero Umiliani, Sandro Brugnolini","Giorgio Gaslini (22 October 1929 – 29 July 2014) was an Italian jazz pianist, composer and conductor.

He began performing aged 13 and recorded with his jazz trio at 16. 
In 1948 he recorded with Gino Stefani on clarinet and Gil Cuppini on drums. In the 1950s and 1960s, Gaslini performed with his own quartet. He was the first Italian musician mentioned as a ""new talent"" in the Down Beat poll and the first Italian officially invited to a jazz festival in the USA (New Orleans 1976-77). <a href=""https://www.last.fm/music/Giorgio+Gaslini"">Read more on Last.fm</a>",58069,290981
Johnny Hodges & His Orchestra,jazz,2020,"Johnny Hodges, Junior Mance, Tommy Flanagan Trio","Johnny Hodges (25 de julio de 1907 - 11 de mayo de 1970) fue un saxofonista alto estadounidense, conocido por su trabajo en solitario con la big band de Duke Ellington. Tocó el alto solista en la sección de saxofón durante muchos años. Hodges también participó en el saxofón soprano, pero se negó a tocar como soprano después de 1940. Junto con Benny Carter, Hodges es considerado uno de los saxofonistas altos definitivos de la era de las big bands.  <a href=""https://www.last.fm/music/Johnny+Hodges+&+His+Orchestra"">Read more on Last.fm</a>",83024,294069
Aaron Parks,jazz,2021,"Colin Vallon, Walter Smith III, Tord Gustavsen Trio","Pianist/composer Aaron Parks was raised in Seattle, WA. He began playing piano at age 10, learning mostly by ear, and was immediately attracted to improvised music. He first came on the radar screen when at 14 years old, he skipped high school and started the University of Washington as part of the Early Entrance Program. At first, he intended to triple-major in math, computer science, and music, but soon realized that he wanted to follow his passion for music fully. <a href=""https://www.last.fm/music/Aaron+Parks"">Read more on Last.fm</a>",106037,1048952
Big Bad Voodoo Daddy,jazz,2022,"Cherry Poppin' Daddies, Royal Crown Revue, Squirrel Nut Zippers","Big Bad Voodoo Daddy is a contemporary swing band from Southern California. Their notable singles include ""Go Daddy-O"" and ""You and Me and the Bottle Makes Three Tonight"". The band went from a regular Wednesday night gig at the Derby in Hollywood, playing for a few hundred people, to playing the Super Bowl XXXIII half-time show in 1999.

The band was originally formed in 1989 by leader Scott Morris. He and Kurt Sodergren are the two ""original"" members, with the rest of the band joining later on. <a href=""https://www.last.fm/music/Big+Bad+Voodoo+Daddy"">Read more on Last.fm</a>",239876,3710906
Scott Hamilton,jazz,2023,"Houston Person, Harry Allen, Kenny Barron","Scott Hamilton is a jazz tenor saxophonist associated with swing (music) and mainstream jazz.

He emerged in the 1970s and at the time he was considered to be one of the few musicians of real talent who carried the tradition of the classic jazz tenor saxophone in the style of Ben Webster, Coleman Hawkins as well as Zoot Sims and Don Byas forward. He began playing in various rhythm & blues outfits in Providence (Rhode Island), but subsequently shifted to jazz and the tenor saxophone. <a href=""https://www.last.fm/music/Scott+Hamilton"">Read more on Last.fm</a>",225668,1507281
okvsho,jazz,2020,"Bolden., Underground Canopy, Gianni Brezzo","The Duo Okvsho is one of the most promising prospects of upcoming musicians and producers from Switzerland. The two brothers grew up in the city of Zurich with influences from oldschool beatmaking and house/electronic music to the modern Jazz-Scene, Funk and Neosoul.

They started out their musical careers at a very young age in Brazilian percussion groups and, due to their Hungarian roots, they are also familiar with traditional Balkan music.

With <a href=""https://www.last.fm/music/okvsho"">Read more on Last.fm</a>",185044,1297489
RAN,jazz,2021,"Hivi!, MALIQ & D'Essentials, Raisa","There are at least 6 artists which are called RAN.

1. Formed in November 18th 2006, RAN is acronym from the 3 Indonesian members; Rayi (vocal/rap), Asta (guitar) and Nino (vocal). They were studied in the same high school. Rayi and Asta, who were in the same level made a band with their schoolmates named F.R.D. which had won in some band festivals, and once played in Malaysia as well. When they graduated, they decided to disperse the band. So at that time, Rayi and Asta just made songs in Asta's room using home recording tools. <a href=""https://www.last.fm/music/RAN"">Read more on Last.fm</a>",55770,1468926
Anna Luna,jazz,2022,"Somewhere Special, Suzy Sheer, Blue Iverson","anna luna is an electronic artist from Kalamazoo, Michigan, USA. <a href=""https://www.last.fm/music/Anna+Luna"">Read more on Last.fm</a>",90668,1234743
The Crusaders,jazz,2023,"Joe Sample, The Jazz Crusaders, Ronnie Laws","There are several artists named The Crusaders;

1) The Crusaders were an American jazz fusion group that was successful from the 1960s to the 1980s. The group was known as The Jazz Crusaders from its formation in 1960 until shortening its name in 1971.

High school friends Joe Sample (piano), Wilton Felder (tenor saxophone) and Nesbert ""Stix"" Hooper (drums) formed their first band together, the Swingsters, in Houston, Texas in 1954. They played a mixture of jazz and R&B <a href=""https://www.last.fm/music/The+Crusaders"">Read more on Last.fm</a>",209389,1760364
Lee Konitz,jazz,2020,"Warne Marsh, Gerry Mulligan, Art Pepper","Lee Konitz (born October 13, 1927 in Chicago, Illinois—died April 15, 2020 in New York City, New York) was an American jazz composer and saxophone player.

Konitz is sometimes regarded as the preeminent cool jazz saxophonist, because he performed and recorded with Claude Thornhill, Lennie Tristano (both often cited as important cool jazz proponents of the mid 1940s), and with Miles Davis' on his epochal Birth of the Cool, which gave the form its name. <a href=""https://www.last.fm/music/Lee+Konitz"">Read more on Last.fm</a>",234249,1466672
Carmen McRae,jazz,2021,"Anita O'Day, Sarah Vaughan, Dinah Washington","Carmen Mercedes McRae (1920-1994) was a U.S. jazz singer, songwriter, and pianist.

McRae was born in Harlem, New York, on the 8th April 1920, and studied piano as a child. As a teenager she came to the attention of Teddy Wilson and his wife, the composer Irene Kitchings Wilson. Through their influence, one of McRae’s early songs, ""Dream of Life"", was recorded by Wilson’s longtime collaborator Billie Holiday.

By the late 1940s she was well known among the modern jazz musicians who gathered at Minton's Playhouse <a href=""https://www.last.fm/music/Carmen+McRae"">Read more on Last.fm</a>",424792,2866405
Milt Jackson,jazz,2022,"Stanley Turrentine, Modern Jazz Quartet, Freddie Hubbard","Milton ""Bags"" Jackson (January 1, 1923 – October 9, 1999) was an American jazz vibraphonist, usually thought of as a bebop player, although he performed in several jazz idioms. He is especially remembered for his cool swinging solos as a member of the Modern Jazz Quartet and his penchant for collaborating with several hard bop and post-bop players.

A very expressive player, Jackson differentiated himself from other vibraphonists in his attention to variations on harmonics and rhythm. <a href=""https://www.last.fm/music/Milt+Jackson"">Read more on Last.fm</a>",172507,1278811
Willie Colón,jazz,2023,"Héctor Lavoe, Rubén Blades, Frankie Ruiz","Trombone player, composer, and bandleader, William Anthony Colón Román (born Apr 28, 1950 in Bronx, NY, USA) was one of the pioneers of Latin American music. Despite initial criticism, Colón's album El Malo has become known as one of the first albums to feature the ""New York Sound"" that sparked a renewed interest in Latin music during the 1970s. Colón has been instrumental in the careers of such Latin musicians as Rubén Blades, who first sang with Colón's band in 1975 <a href=""https://www.last.fm/music/Willie+Col%C3%B3n"">Read more on Last.fm</a>",462638,7430194
Joe Armon-Jones,jazz,2020,"Emma-Jean Thackray, Kokoroko, Theo Croker","Joe Armon-Jones is a British jazz musician based in London. A member of Ezra Collective, he is a noted collaborator with other artists. <a href=""https://www.last.fm/music/Joe+Armon-Jones"">Read more on Last.fm</a>",108957,832505
Max Roach,jazz,2021,"Jackie McLean, Clifford Brown & Max Roach, Andrew Hill","Maxwell Lemuel Roach (January 10, 1924 – August 16, 2007) was an American jazz drummer and composer.

A pioneer of bebop, Roach went on to work in many other styles of music, and is generally considered alongside the most important drummers in history. He worked with many famous jazz musicians, including Coleman Hawkins, Dizzy Gillespie, Charlie Parker, Miles Davis, Duke Ellington, Thelonious Monk, Charles Mingus, Billy Eckstine, Stan Getz, Sonny Rollins, Eric Dolphy and Booker Little. <a href=""https://www.last.fm/music/Max+Roach"">Read more on Last.fm</a>",169241,1206534
Thad Jones,jazz,2022,"Lee Morgan, Blue Mitchell, Jackie McLean","Thaddeus Joseph Jones (March 28, 1923 – August 21, 1986) was an American jazz trumpeter, composer, and bandleader.

He was born in Pontiac, Michigan to a musical family of ten (an older brother was pianist Hank Jones and a younger brother was drummer Elvin Jones). Thad Jones was a self taught musician, performing professionally by the age of sixteen. He served in U.S. Army bands during World War II (1943-46).

After the war, Thad Jones continued his professional music career <a href=""https://www.last.fm/music/Thad+Jones"">Read more on Last.fm</a>",119993,582473
